,0
0,487921.53
1,1601372.8
2,915806.44
3,450430.78
4,267776.8
5,625301.3
6,373351.97
7,303837.28
8,452558.1
9,301298.47
10,456394.62
11,832854.5
12,588278.5
13,760811.7
14,446220.22
15,493899.7
16,1451468.6
17,659174.6
18,592998.6
19,455494.06
20,402643.5
21,381097.6
22,642918.3
23,703644.2
24,540933.6
25,1007149.8
26,1234079.5
27,294435.03
28,354486.0
29,1809853.4
30,417030.88
31,378949.38
32,1259381.4
33,336222.44
34,243917.83
35,1573865.6
36,969118.44
37,689929.4
38,1540115.8
39,676536.44
40,565569.6
41,656658.56
42,295226.3
43,357367.22
44,484642.38
45,710517.75
46,436108.66
47,711274.8
48,973399.6
49,957163.5
50,596300.75
51,635674.2
52,577561.75
53,421779.5
54,498094.84
55,649896.2
56,338171.28
57,955453.6
58,508884.75
59,809401.6
60,439687.78
61,777151.75
62,642351.5
63,469830.2
64,816398.4
65,360031.3
66,993403.4
67,356009.16
68,412709.94
69,1530916.9
70,535385.2
71,484276.03
72,513722.0
73,362216.7
74,606000.7
75,556408.44
76,537996.7
77,410583.53
78,555061.8
79,409322.66
80,521635.97
81,640354.94
82,688315.2
83,524561.6
84,647276.2
85,1059307.6
86,235784.97
87,357061.3
88,689031.4
89,906425.5
90,519071.97
91,285865.97
92,434888.7
93,457379.0
94,1523389.5
95,829165.56
96,472782.8
97,2112903.5
98,234720.97
99,1050233.2
100,533050.5
101,1548248.0
102,440679.38
103,1261308.2
104,814940.8
105,342334.2
106,634545.1
107,388098.28
108,619196.06
109,307241.62
110,386710.84
111,615659.94
112,469914.34
113,453678.2
114,914621.4
115,336866.34
116,385355.47
117,1403078.8
118,982853.1
119,1549796.6
120,705935.0
121,633077.06
122,810400.75
123,359484.5
124,846416.4
125,589797.7
126,354571.66
127,760730.75
128,428699.97
129,510211.3
130,506627.88
131,389527.28
132,401180.2
133,282493.0
134,572647.94
135,700309.44
136,1172164.0
137,631525.8
138,796250.2
139,363659.16
140,395183.0
141,415787.6
142,514536.4
143,509449.75
144,637852.1
145,683327.9
146,806487.6
147,502067.88
148,795673.5
149,541895.56
150,629288.2
151,370034.72
152,313771.62
153,428612.12
154,755697.1
155,479428.78
156,313721.97
157,255333.95
158,414808.22
159,744462.0
160,972961.6
161,776546.94
162,340096.7
163,475258.1
164,750469.5
165,488778.2
166,504195.44
167,271940.4
168,320201.47
169,700853.94
170,485452.28
171,345757.6
172,927560.56
173,428188.2
174,488442.22
175,505928.34
176,486298.0
177,692983.5
178,626279.25
179,432294.38
180,593121.1
181,888058.1
182,452731.12
183,606698.5
184,359611.9
185,617430.9
186,564419.56
187,353303.53
188,564689.7
189,346243.25
190,775568.94
191,585323.94
192,612173.7
193,992022.7
194,1489078.0
195,527414.4
196,356643.22
197,717966.25
198,571562.25
199,416001.4
200,260857.81
201,490955.47
202,769511.56
203,447451.66
204,431854.0
205,450755.66
206,377806.44
207,1084154.2
208,482846.22
209,769908.1
210,557775.25
211,493109.62
212,613596.9
213,814827.1
214,1076463.9
215,477829.97
216,302723.34
217,526470.75
218,492577.1
219,413449.75
220,755605.3
221,1118313.9
222,610564.8
223,335690.0
224,523136.25
225,750962.25
226,588678.2
227,1047832.1
228,613552.6
229,212260.42
230,870022.94
231,410130.25
232,402385.84
233,1184597.6
234,374900.47
235,717034.44
236,527770.2
237,1366978.5
238,343157.44
239,587435.2
240,510847.06
241,560193.06
242,528528.56
243,709356.6
244,680840.7
245,356482.0
246,823355.3
247,495460.72
248,1134070.2
249,330977.28
250,2076018.6
251,450395.16
252,1254925.9
253,326174.06
254,1531404.8
255,501253.06
256,622940.75
257,520409.16
258,589051.4
